record_id,equipment_id,maintenance_date,maintenance_type,component,duration_hours,cost_usd,technician_notes,next_scheduled
55,ROBOT-002,2023-10-09,Predictive,Gripper,2,950,Predictive maintenance on Gripper. Status: Completed.,2024-02-18
67,ROBOT-002,2023-10-11,Preventive,Gripper,1,218,Preventive maintenance on Gripper. Status: Completed.,2024-02-01
23,CNC-002,2023-11-01,Predictive,Servo Motor,4,1256,Predictive maintenance on Servo Motor. Status: Completed.,2024-02-24
28,PRESS-001,2023-11-18,Predictive,Lubrication System,4,601,Predictive maintenance on Lubrication System. Status: Completed.,2024-02-14
90,OVEN-001,2023-11-19,Corrective,Control System,4,3011,Corrective maintenance on Control System. Status: Completed.,2024-04-29
91,OVEN-001,2023-11-22,Preventive,Thermostat,2,1403,Preventive maintenance on Thermostat. Status: Completed.,2024-02-08
41,PRESS-002,2023-12-01,Predictive,Clutch/Brake,4,281,Predictive maintenance on Clutch/Brake. Status: Completed.,2024-03-08
4,CNC-001,2023-12-02,Corrective,Servo Motor,6,1937,Corrective maintenance on Servo Motor. Status: Completed.,2024-04-20
51,ROBOT-001,2023-12-03,Corrective,Joint Actuator,7,3246,Corrective maintenance on Joint Actuator. Status: Completed.,2024-02-26
2,CNC-001,2023-12-03,Preventive,Spindle,4,722,Preventive maintenance on Spindle. Status: Completed.,2024-05-09
72,CONVEYOR-001,2023-12-04,Emergency,Tensioner,10,14250,Emergency maintenance on Tensioner. Status: Completed.,2024-02-15
30,PRESS-001,2023-12-07,Preventive,Die Assembly,2,450,Preventive maintenance on Die Assembly. Status: Completed.,2024-05-10
31,PRESS-001,2023-12-12,Preventive,Hydraulic Pump,1,552,Preventive maintenance on Hydraulic Pump. Status: Completed.,2024-03-17
48,ROBOT-001,2023-12-13,Preventive,End Effector,1,1360,Preventive maintenance on End Effector. Status: Completed.,2024-02-18
10,CNC-001,2023-12-13,Preventive,Ball Screw,4,890,Preventive maintenance on Ball Screw. Status: Completed.,2024-03-14
